Nº_envolvido,condutor,cod_severidade,sexo,cinto_seguranca,Embreagues,Idade,categoria_habilitacao,especie_veiculo,pedestre,passageiro,turno
1,1,1,1,0,0,35,4,0,0,0,0
2,1,3,2,1,1,42,0,1,0,0,0
3,0,3,1,1,0,32,0,1,0,1,0
1,0,1,2,1,0,72,0,2,0,1,0
2,1,3,1,1,0,55,0,2,0,0,0
1,1,3,1,1,0,29,8,2,0,0,0
2,1,1,2,1,0,33,6,1,0,0,0
3,0,1,1,1,0,39,0,1,0,1,0
1,1,3,1,1,0,30,5,1,0,0,0
2,1,1,1,1,0,37,0,3,0,0,0
3,0,1,1,1,0,40,0,3,0,1,0
1,1,1,1,1,0,25,6,3,0,0,0
2,1,3,1,1,0,51,9,1,0,0,0
1,1,3,1,1,0,28,6,3,0,0,0
2,1,1,1,1,0,27,3,3,0,0,0
3,0,1,2,1,0,30,0,3,0,1,0
1,1,1,1,1,1,28,2,3,0,0,0
2,1,3,1,1,0,33,6,1,0,0,0
1,1,1,1,1,0,34,6,3,0,0,0
2,1,3,1,1,0,24,6,1,0,0,0
3,0,3,2,1,0,32,0,1,0,1,0
1,1,1,1,1,0,24,6,3,0,0,1
2,1,3,2,1,0,25,4,1,0,0,1
1,1,1,1,1,0,21,6,3,0,0,1
2,1,3,1,1,0,36,4,4,0,0,1
1,1,1,1,1,0,40,3,3,0,0,1
2,1,3,1,1,0,27,5,1,0,0,1
1,1,3,1,1,0,41,3,5,0,0,1
2,1,1,1,1,0,22,4,3,0,0,1
1,1,0,1,1,0,32,6,3,0,0,1
2,1,1,1,1,0,44,6,3,0,0,1
1,1,1,1,1,0,37,3,3,0,0,1
1,1,1,1,1,0,40,0,3,0,0,1
2,1,1,2,1,0,44,0,1,0,0,1
3,1,2,1,1,0,42,4,1,0,0,1
4,1,3,1,1,0,29,4,5,0,0,1
5,1,3,1,1,0,36,6,6,0,0,1
6,0,1,1,0,0,44,0,1,0,1,1
7,1,1,1,1,0,40,0,1,0,0,1
8,1,1,1,1,0,32,0,4,0,0,1
9,0,2,1,1,0,36,0,1,0,1,1
11,1,1,1,1,0,25,9,7,0,0,1
12,1,3,1,1,0,30,4,5,0,0,1
13,0,2,1,1,0,32,0,1,0,1,1
14,1,3,1,1,0,30,7,7,0,0,1
15,1,3,2,1,0,28,7,1,0,0,1
16,1,3,1,1,0,37,6,1,0,0,1
17,1,3,1,1,0,39,7,1,0,0,1
18,0,1,1,0,0,25,0,6,1,0,1
1,1,3,2,1,0,27,4,1,0,0,2
2,0,1,1,0,0,31,0,6,1,0,2
1,1,3,2,1,0,33,4,1,0,0,1
2,1,1,1,1,0,31,6,3,0,0,1
1,1,1,1,1,0,19,0,3,0,0,0
1,1,1,1,1,0,27,6,3,0,0,2
2,1,3,1,1,0,34,6,1,0,0,2
1,1,1,1,1,0,20,6,3,0,0,1
1,1,1,1,1,0,33,3,3,0,0,2
2,1,3,1,1,0,33,6,1,0,0,2
1,1,3,1,1,0,52,6,1,0,0,2
2,1,1,1,1,0,27,6,3,0,0,2
3,0,1,2,1,0,23,0,3,0,1,2
1,1,3,1,1,0,34,7,1,0,0,2
2,1,1,1,1,0,23,3,3,0,0,2
1,1,1,1,0,0,17,1,0,0,0,2
3,1,3,1,1,0,18,0,1,0,0,2
1,1,1,2,1,0,27,3,3,0,0,2
2,1,3,1,1,0,70,6,1,0,0,2
1,1,1,1,1,0,28,6,3,0,0,2
2,1,3,1,1,0,29,4,1,0,0,2
1,1,1,1,1,0,21,3,3,0,0,2
1,1,1,1,1,0,28,6,1,0,0,0
1,1,1,1,1,0,19,3,3,0,0,0
2,1,3,1,1,0,63,4,1,0,0,0
1,1,3,1,1,0,18,4,1,0,0,0
2,0,1,1,1,0,24,0,1,0,1,0
3,0,3,1,1,0,18,0,1,0,1,0
1,1,3,1,1,0,23,4,1,0,0,0
2,1,1,1,1,0,19,6,1,0,0,0
3,1,3,1,0,2,0,0,1,2,2,0
1,1,3,1,1,0,48,4,1,0,0,0
2,1,1,1,1,0,26,4,1,0,0,0
2,1,1,1,1,0,19,0,3,0,0,0
1,1,3,1,0,0,38,1,0,0,0,0
2,1,1,1,1,0,45,0,3,0,0,0
1,0,1,2,0,0,46,0,6,1,0,1
2,1,3,1,1,0,22,0,3,0,0,1
